concept,rank,seed,clip_score
Vincent van Gogh,1,2025,0.18222954869270325
Vincent van Gogh,1,2026,0.16102275252342224
Vincent van Gogh,1,2027,0.1827627420425415
Vincent van Gogh,4,2025,0.08410395681858063
Vincent van Gogh,4,2026,0.13092267513275146
Vincent van Gogh,4,2027,0.1306954324245453
Vincent van Gogh,7,2025,0.10197005420923233
Vincent van Gogh,7,2026,0.16862210631370544
Vincent van Gogh,7,2027,0.12765057384967804
car,1,2025,0.20923097431659698
car,1,2026,0.1219508945941925
car,1,2027,0.10175985097885132
car,2,2025,0.12745220959186554
car,2,2026,0.12260705232620239
car,2,2027,0.10198354721069336
car,4,2025,0.16725395619869232
car,4,2026,0.11245497316122055
car,4,2027,0.14538684487342834
dog,1,2025,0.10532620549201965
dog,1,2026,0.09930257499217987
dog,1,2027,0.11704656481742859
dog,2,2025,0.125523179769516
dog,2,2026,0.1132064014673233
dog,2,2027,0.12956629693508148
dog,4,2025,0.1760568916797638
dog,4,2026,0.1823929399251938
dog,4,2027,0.18058790266513824
