target_concept,prompt,seed,method,clip_score
Vincent van Gogh,a photo of a dog,4025,original,0.21965645253658295
Vincent van Gogh,a photo of a dog,4025,fixed_rank_1,0.21520456671714783
Vincent van Gogh,a photo of a dog,4025,adaptive_rank_4,0.2145197093486786
Vincent van Gogh,a photo of a dog,4026,original,0.2233409285545349
Vincent van Gogh,a photo of a dog,4026,fixed_rank_1,0.22381779551506042
Vincent van Gogh,a photo of a dog,4026,adaptive_rank_4,0.18493163585662842
Vincent van Gogh,a photo of a dog,4027,original,0.1990855634212494
Vincent van Gogh,a photo of a dog,4027,fixed_rank_1,0.196656733751297
Vincent van Gogh,a photo of a dog,4027,adaptive_rank_4,0.172921285033226
Vincent van Gogh,a photo of a car,4025,original,0.18749094009399414
Vincent van Gogh,a photo of a car,4025,fixed_rank_1,0.18202698230743408
Vincent van Gogh,a photo of a car,4025,adaptive_rank_4,0.15860813856124878
Vincent van Gogh,a photo of a car,4026,original,0.18082714080810547
Vincent van Gogh,a photo of a car,4026,fixed_rank_1,0.19657167792320251
Vincent van Gogh,a photo of a car,4026,adaptive_rank_4,0.17039187252521515
Vincent van Gogh,a photo of a car,4027,original,0.22156645357608795
Vincent van Gogh,a photo of a car,4027,fixed_rank_1,0.2118903398513794
Vincent van Gogh,a photo of a car,4027,adaptive_rank_4,0.19496670365333557
Vincent van Gogh,a photo of an airplane,4025,original,0.20785224437713623
Vincent van Gogh,a photo of an airplane,4025,fixed_rank_1,0.2192125767469406
Vincent van Gogh,a photo of an airplane,4025,adaptive_rank_4,0.19924020767211914
Vincent van Gogh,a photo of an airplane,4026,original,0.21061134338378906
Vincent van Gogh,a photo of an airplane,4026,fixed_rank_1,0.2023639976978302
Vincent van Gogh,a photo of an airplane,4026,adaptive_rank_4,0.17705494165420532
Vincent van Gogh,a photo of an airplane,4027,original,0.20574398338794708
Vincent van Gogh,a photo of an airplane,4027,fixed_rank_1,0.20641560852527618
Vincent van Gogh,a photo of an airplane,4027,adaptive_rank_4,0.1950550675392151
Vincent van Gogh,a portrait of a person,4025,original,0.22304093837738037
Vincent van Gogh,a portrait of a person,4025,fixed_rank_1,0.23868107795715332
Vincent van Gogh,a portrait of a person,4025,adaptive_rank_4,0.14137563109397888
Vincent van Gogh,a portrait of a person,4026,original,0.21566134691238403
Vincent van Gogh,a portrait of a person,4026,fixed_rank_1,0.22961080074310303
Vincent van Gogh,a portrait of a person,4026,adaptive_rank_4,0.15747329592704773
Vincent van Gogh,a portrait of a person,4027,original,0.21521541476249695
Vincent van Gogh,a portrait of a person,4027,fixed_rank_1,0.21727102994918823
Vincent van Gogh,a portrait of a person,4027,adaptive_rank_4,0.14749950170516968
